名前,address_orig,住所,お店の場所
アピタ宇都宮,栃木県宇都宮市江曽島本町２２－７,栃木県宇都宮市江曽島本町22-7,
福田屋百貨店 宇都宮店,栃木県宇都宮市今泉町２３７番地２Ｆ,栃木県宇都宮市今泉町237,2F
タイトーステーション 宇都宮ベルモール店,栃木県宇都宮市陽東６丁目２－１,栃木県宇都宮市陽東6-2-1,
イトーヨーカドー小山,栃木県小山市駅東通り２－３－１５,栃木県小山市駅東通り2-3-15,
イトーヨーカドー宇都宮,栃木県宇都宮市陽東６－２－１,栃木県宇都宮市陽東6-2-1,
アピナ小山店,栃木県小山市駅南町４－２７－１８,栃木県小山市駅南町4-27-18,
モーリーファンタジー佐野新都市,栃木県佐野市高萩町１３２４－１イオン２Ｆ,栃木県佐野市高萩町1324-1,イオン2F
モーリーファンタジー小山,栃木県小山市中久喜１４６７－１イオン２Ｆ,栃木県小山市中久喜1467-1,イオン2F
モーリーファンタジー栃木,栃木県栃木市箱森町３７番９号イオン２Ｆ,栃木県栃木市箱森町37-9,イオン2F
モーリーファンタジー那須塩原,栃木県那須塩原市島方４５５ イオンタウン１Ｆ,栃木県那須塩原市島方455,イオンタウン1F
パロ石橋,栃木県下野市下古山３３６２－１ヨークタウン,栃木県下野市下古山3362-1,ヨークタウン
らんらんらんど宇都宮,栃木県宇都宮市睦町５－５ スーパーセンタートライアル宇都宮店１Ｆ,栃木県宇都宮市睦町5-5,スーパーセンタートライアル宇都宮店1F
トイザらス太田,群馬県太田市飯塚町１９３３－２,群馬県太田市飯塚町1933-2,
トイザらス前橋,群馬県前橋市鳥羽町１６４－１,群馬県前橋市鳥羽町164-1,
トイザらス伊勢崎,群馬県伊勢崎市連取町３０２５－２,群馬県伊勢崎市連取町3025-2,
ヤマダ電機LABI高崎,群馬県高崎市栄町１番１号,群馬県高崎市栄町1-1,
ヤマダ電機PC&マルチメディア館前橋本店,群馬県前橋市日吉町４－１４－１３,群馬県前橋市日吉町4-14-13,
あそびの広場SORA島前橋,群馬県前橋市国領町２－１４－１前橋リリカ２Ｆ,群馬県前橋市国領町2-14-1,前橋リリカ2F
宝島 大間々,群馬県みどり市大間々町大間々４０番地さくらもーる２Ｆ,群馬県みどり市大間々町大間々40,さくらもーる2F
セガワールド館林,群馬県館林市小桑原町９４９－１,群馬県館林市小桑原町949-1,
ハローズガーデン前橋店,群馬県前橋市文京町２－１－１ アピタけやきウォーク前橋店２階,群馬県前橋市文京町2-1-1,アピタけやきウォーク前橋店2階
こころっこ新田店,群馬県太田市新田市野井町５９２－１３ ニコモール新田店内プレビプレイランドコーナーこころっこ,群馬県太田市新田市野井町592-13,ニコモール新田店内プレビプレイランドコーナーこころっこ
