名前,address_orig,住所,お店の場所,経緯度
モーリーファンタジー南淡路,兵庫県南あわじ市賀集八幡北字東内３７８－１イオン１Ｆ,兵庫県南あわじ市賀集八幡北字東内378-1,イオン1F,"134.7408563,34.2795805"
モーリーファンタジー明石,兵庫県明石市大久保町ゆりのき通り３－３－１ イオン明石３番街３Ｆ,兵庫県明石市大久保町ゆりのき通り3-3-1,イオン明石3ー街3F,"134.9351504,34.67884"
らんらんらんど長田南,兵庫県神戸市長田区東尻池新町１番２０号イオン長田南ショッピングセンター内２Ｆ,兵庫県神戸市長田区東尻池新町1-20,イオン長田南ショッピングセンター内2F,"135.1593499,34.6551984"
イオン赤穂,兵庫県赤穂市中広字別所５５－３,兵庫県赤穂市中広字別所55-3,,"134.4008295,34.7558146"
イオン和田山,兵庫県朝来市和田山町牧田岡７７４,兵庫県朝来市和田山町牧田岡774,,"134.8636862,35.329326"
イオン猪名川,兵庫県川辺郡猪名川町猪名川町白金 ２－１,兵庫県川辺郡猪名川町猪名川町白金2-1,,"135.3651532,34.9021483"
イオン伊丹昆陽,兵庫県伊丹市池尻４－１－１,兵庫県伊丹市池尻4-1-1,,"135.38222740000003,34.7845199"
イオン神戸北,兵庫県神戸市北区上津台８－１－１,兵庫県神戸市北区上津台8-1-1,,"135.1945815,34.8609275"
イオン加古川,兵庫県加古川市平岡町新在家６１５－１,兵庫県加古川市平岡町新在家615-1,,"134.8621201,34.7491423"
イオン明石,兵庫県明石市大久保町ゆりのき通３－３－１,兵庫県明石市大久保町ゆりのき通3-3-1,,"134.9351072,34.67862680000001"
イオン洲本,兵庫県洲本市塩屋１－１－８,兵庫県洲本市塩屋1-1-8,,"134.8925861,34.3450718"
アピタ大和郡山,奈良県大和郡山市田中町字宮西５１７番,奈良県大和郡山市田中町字宮西517,,"135.7695403,34.6422744"
ペリカン和歌山,和歌山県和歌山市新生町７－２０イズミヤ内２Ｆ,和歌山県和歌山市新生町7-20,イズミヤ内2F,"135.18755990000002,34.2216139"
ドナリアコットミレニアシティ岩出店,和歌山県岩出市中迫字塚本１４７ミレニアシティ,和歌山県岩出市中迫字塚本147,ミレニアシティ,"135.31544310000004,34.2598459"
にこぱガーデンパーク和歌山店,和歌山県松江字向鵜の島１４６９－１ ガーデンパーク和歌山,和歌山県松江字向鵜の島1469-1,ガーデンパーク和歌山,"135.1533632,34.239266"
ユーズランド和歌山店,和歌山県和歌山市中字楠谷５７３番地 イオンモール和歌山２Ｆ区画番号２０５９,和歌山県和歌山市中字楠谷573,イオンモール和歌山2F区画ー号2059,"135.1487423,34.2757354"
オークワ スーパーセンター南紀店,和歌山県新宮市佐野３－１１－１９,和歌山県新宮市佐野3-11-19,,"135.9696523,33.6753618"
オークワ パビリオンシティ田辺店,和歌山県田辺市稲成町新江原３１６５,和歌山県田辺市稲成町新江原3165,,"135.3759054,33.7440266"
オークワ ミレニアシティ岩出店,和歌山県岩出市中迫１４７,和歌山県岩出市中迫147,,"135.3150662,34.2597521"
オークワ ロマンシティ御坊店,和歌山県御坊市湯川町財部１８１,和歌山県御坊市湯川町財部181,,"135.1487845,33.8976627"
タイトーFステーション 御坊店,和歌山県御坊市湯川町財部１８１番地,和歌山県御坊市湯川町財部181,,"135.1489615,33.8977874"
モーリーファンタジー和歌山,和歌山県和歌山市中字楠谷５７３番地イオン３Ｆ,和歌山県和歌山市中字楠谷573,イオン3F,"135.1489488,34.275875"
トイザらス岡山,岡山県岡山市北区岡南町２－６－５２,岡山県岡山市北区岡南町2-6-52,,"133.9263805,34.6403394"
ユーズランド倉敷店,岡山県倉敷市水江一番地イオンモール倉敷２Ｆ,岡山県倉敷市水江一-イオンモ-ル倉敷2F,,"133.7460732,34.6032748"
こどもや西大寺店,岡山県岡山市西大寺南１－２－１天満屋ハピータウン西大寺店内,岡山県岡山市西大寺南1-2-1,天満屋ハピータウン西大寺店内,"134.0300687,34.6524334"
モーリーファンタジーイオン倉敷,岡山県倉敷市水江１番地イオン１Ｆ,岡山県倉敷市水江1,イオン1F,"133.7459338,34.6027449"
モーリーファンタジー岡北,岡山県岡山市北区中井町２－２－７天満屋ハピータウン３Ｆ,岡山県岡山市北区中井町2-2-7,天満屋ハピータウン3F,"133.9287009,34.6796328"
モーリーファンタジー水島,岡山県倉敷市水島高砂町３番１１号マックスバリュ１Ｆ,岡山県倉敷市水島高砂町3-11,マックスバリュ1F,"133.7369128,34.5304933"
モーリーファンタジー津山,岡山県津山市河辺１０００－１イオン２Ｆ,岡山県津山市河辺1000-1,イオン2F,"134.0458668,35.0649267"
イオン津山,岡山県津山市河辺１０００－１,岡山県津山市河辺1000-1,,"134.0464004,35.0651166"
ペリカン呉,広島県呉市宝町５－１０ゆめタウン呉内３Ｆ,広島県呉市宝町5-10,ゆめタウン呉内3F,"132.556431,34.2423015"
ペリカン大竹,広島県大竹市晴海１－６－１ゆめタウン大竹内２Ｆ,広島県大竹市晴海1-6-1,ゆめタウン大竹内2F,"132.2235994,34.2412056"
トイザらス広島宇品,広島県広島市南区宇品西２１６－５１ベイシティ宇品２Ｆ,広島県広島市南区宇品西216-51,ベイシティ宇品2F,"132.4579438,34.364442"
