名前,住所,お店の場所,経度,緯度
ピアゴ吉良,愛知県幡豆郡吉良町吉田字天笠桂16-3,,137.0631842,34.80125490000001
アピタ一宮,愛知県一宮市両郷町1-6,,136.8166206,35.3105991
アピタ西尾,愛知県西尾市高畠町3-23-9,,137.0598842,34.8637778
アピタ名北,愛知県名古屋市北区辻町9-1,,136.9226928,35.2097764
ゲームランド岡崎,愛知県岡崎市 戸崎町 字外山38-5,イオンモール岡崎シネマ館3F,137.1642928,34.9384629
プラサカプコン稲沢,愛知県稲沢市下津町地内尾張西部郡都市拠点地区13,街区 リーフフォーク稲沢201区画,136.8190552,35.2607242
トヨタ生協 本店,愛知県豊田市山之手8-92,,137.1452768,35.0525002
セイタイトー 弥富,愛知県弥富市五明1371-4,,136.7168876,35.1148825
レイク・リビン清洲店,愛知県清須市西市場5-5-3,,136.8290346,35.21894530000001
モーリーファンタジーワンダーシティ,愛知県名古屋市西区二方町40,イオン3F,136.8835556,35.2248111
モーリーファンタジー三好,愛知県みよし市三好町青木91,イオン2F,137.0795432,35.0922368
モーリーファンタジー木曽川,愛知県一宮市木曽川町黒田字南八ツヶ池25-1,イオン2F,136.7735262,35.3484123
イオン木曽川,愛知県一宮市木曽川町黒田字南八ツケ池25-1,,136.7732275,35.349179
ザ・ビッグエクストラ刈谷,愛知県刈谷市東境町京和1,,137.0276866,35.0391636
ソユープレイランドソピア御所野店,秋田県秋田市御所野地蔵田1-1-1,イオンモール秋田2F,140.1610774,39.6633486
モーリーファンタジー横手,秋田県横手市安田字向田147,イオン2F,140.5537196,39.298407
モーリーファンタジー横手南,秋田県横手市大字婦気大堤字中田4-1,SuC2F,140.5531593,39.2960086
モーリーファンタジー大館,秋田県大館市大田面238,SuC1F,140.5767599,40.2861884
イオン土崎港,秋田県秋田市土崎港南2-3-41,,140.0728694,39.7471368
イオン横手,秋田県横手市安田字向田147,,140.55366380000004,39.298946
イオン秋田中央,秋田県秋田市楢山川口境5-11,,140.1093714,39.7042318
リスチャイルドたかのす店,秋田県北秋田市栄字中綱31-1,イオンタウンたかのすSC内,140.3846074,40.2301602
わくわくランド新庄店,山形県新庄市金沢字大道上2033-4,,140.3093456,38.753313
わくわくランドくしびき店,山形県鶴岡市丸岡字鳥飼121-1,ヤマザワくしびき店内,139.8373506,38.6793869
わくわくランド中山店,山形県東村山郡中山町大字長崎新町3030-1,ヤマザワ中山店内,140.2792045,38.3277099
SOYU Game Field天童店,山形県天童市芳賀土地区画整理事業地内34,街区 イオンモール天童2階,140.363964,38.344141
ソユーゲームフィールド三川店,山形県東田川郡三川町大字猪子字和田庫128-1,イオンモール三川1F,139.83512680000004,38.8158603
モーリーファンタジー三川,山形県東田川郡三川町大字猪子字和田庫128-1,イオン2F,139.8363921,38.8162579
モーリーファンタジー天童,山形県天童市芳賀土地区画整理事業地内34,街区イオン3F,140.3639641,38.3444524
イオン三川,山形県東田川郡三川町大字猪子字和田庫128-1,,139.8366503,38.8151581
トイザらス郡山,福島県郡山市松木町2-88,,140.3878241,37.390747100000006
ヨドバシカメラ郡山駅前,福島県郡山市駅前1-16-7,,140.3875113,37.3970492
イトーヨーカドー平,福島県いわき市平6-6-2,,140.8983261,37.0576114
モーリーファンタジー鏡石,福島県岩瀬郡鏡石町桜岡375-9,SuC1F,140.3337655,37.2424652
モーリーファンタジー郡山フェスタ,福島県郡山市日和田町字小原1,イオン1F,140.3764537,37.4449071
モーリーファンタジー白河西郷,福島県西白河郡西郷村大字小田倉字岩下11-1,イオン2F,140.1777724,37.1212189
イオンいわき,福島県いわき市平字三倉68-1,,140.89862580000002,37.0507641
イオン白河西郷,福島県西白河郡西郷村大字小田倉字岩倉11-1,,140.1769072,37.1219882
ペリカンはません,熊本県熊本市南区田井島1-2-1,ゆめタウンはません内2F,130.7267145,32.7716326
トイザらス熊本南,熊本県宇城市小川町河江1-1,,130.7069921,32.5973657
イオン熊本クレア,熊本県上益城郡嘉島町大字上島字長池2232,,130.743612,32.7380003
イオン菊陽,熊本県菊池郡菊陽町津久礼2472,,130.8001872,32.8619412
イオン錦,熊本県球磨郡錦町大字西字打越715-1,,130.7958284,32.1935703
イオン八代,熊本県八代市沖町六-割3987-3,,130.5849459,32.5251179
イオン天草,熊本県天草市亀場町食場後山下740,,130.1793481,32.4345613
タイトーステーション ゆめタウン光の森店,熊本県菊池郡菊陽町津久礼3310,,130.7845845,32.8602531
ペリカンあらお,熊本県荒尾市緑ケ丘1-1-1,2Fあらおシティモール,130.4707661,32.9826824
モーリーファンタジー熊本,熊本県上益城郡嘉島町上島字長池2232,イオン2F,130.7439315,32.7380684
モーリーファンタジー天草,熊本県天草市亀場町食場後山下740,イオン2F,130.1790906,32.4345342
モーリーファンタジー八代,熊本県八代市沖町六-割3987-3,イオン2F,130.5853107,32.525335
ペリカン別府,大分県別府市楠町382-7,ゆめタウン別府内3F,131.5077475,33.2762882
ペリカン中津,大分県中津市大字島田134-1,ゆめタウン中津内3F,131.1947003,33.6026222
トイザらス大分,大分県大分市大字宮崎525,,131.6087392,33.2016426
イオン狭間,大分県由布市挾間町北方77,,131.5221072,33.2064391
イオン三光,大分県中津市三光佐知1032,,131.1938423,33.5582177
プラサカプコン大分店,大分県大分市公園通り西2-1,パークプレイス大分2F,131.655975,33.1954334
ダイエー宮崎,宮崎県宮崎市大淀4-7-30,,131.4193614,31.895434099999996
イオン延岡ニューシティ,宮崎県延岡市旭町2-2-1,,131.6702108,32.5722613
イオン宮崎,宮崎県宮崎市新別府町江口862-1,,131.4554238,31.9231764
イオン日向,宮崎県日向市大字日知屋字古田町61-1,,131.652409,32.4238405
ゲオ延岡店,宮崎県延岡市出北3-19-17,,131.6827986,32.5724608
モーリーファンタジー宮崎,宮崎県宮崎市新別府町江口862-1,イオン2F,131.4546773,31.9233814
トイザらス亀戸,東京都江東区亀戸6-31-1,,139.8290259,35.6958062
トイザらス府中駅前,東京都府中市宮町1-50,くるるB1F,139.4811146,35.671456
ヤマダ電機LABI品川大井町,東京都品川区東大井5-20-1,AVソフトコーナー,139.7357288,35.6061957
ツリービレッジ,東京都墨田区押上1-1-2,東京スカイツリータウン・ソラマチ4F,139.8118745,35.7103102
西友荻窪,東京都杉並区上萩1-9-1,タウンセブン,139.6195989,35.7051025
西友LIVINオズ大泉,東京都練馬区東大泉2-10-11,,139.5954153,35.7522403
西友河辺,東京都青梅市河辺町10-9-1,,139.2847283,35.7859929
西友光が丘,東京都練馬区光が丘5-1-1,,139.6284538,35.7597683
西友清瀬,東京都清瀬市元町1-4-5,,139.5205586,35.7733085
西友ひばりが丘,東京都西東京市住吉町3-9-8,,139.5452076,35.7507445
キデイランドヴィーナスフォート,東京都江東区青海1-3-15,ヴィーナスフォート2F,139.78066410000002,35.6253883
キデイランド光が丘,東京都練馬区光が丘5-1-1,光が丘IMA2F,139.628165,35.7597334
キデイランド二子玉川,東京都世田谷区玉川2-21-1,二子玉川ライズ・ショッピングセンター・タウンフロント6F,139.6275509,35.6126271
ダイエー西台,東京都板橋区蓮根3-8-12,,139.67458240000002,35.7863021
ダイエー練馬,東京都練馬区光が丘5-1-1,,139.628368,35.7595811
